num,summary,grade,review
121,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,역시 예쁘군여 시우민이 입어서 더 이쁘지만 같은것을 입는다는것에 참으로 만족감을 느낍니다 고맙읍니다 판매자님 덕분에 좋은잠옷 생겼읍니다...사는동안 떼돈버소서...
122,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,시우민 덕에 좋은 옷 겟했네요 생각보다 편하구 이쁘네요! 얇아서 통풍 잘 될거 같구 길이도 저한텐 잘 맞았어요 추천합니다
123,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,시우민이 입어서 믿고 샀는데 역시나~ 너무 예쁘네요~ 만족스럽습니다
124,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,"이불밖에서 시우민이 예고촬영때 입어서 구매했습니다!
넘넘 대 만족이에요 시우민덕분에 이런 잠옷도 입어보고~ "
125,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,"시우민이 입은거 보고 예뻐서 자매들것도 같이 샀어요~
면도 좋고 정말 예쁘네요!"
126,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,시우민 시우민이 입은 거 보고 샀어용 아직 입어보진 않았는데 좋은 거 같아요~~ 감사합니다~~!!
127,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,배송이 좀 늦긴 했지만 만족합니다..사이즈도 딱 적당하구요
128,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66),5,시우민보고 샀어요!!
129,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,너무 좋아요 감사합니다~♡
130,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,"시우민이 방송에서 입어서 구매했어요.
아직 입어보진않았지만 얇고 부드러워서 좋아요~
여름에 입으면 딱일거같습니다!"
131,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,너무 예쁘고 재질이 좋아서 정말좋아요. 배송이 늦어서 좀 아쉬웠지만. 잘입을 수 있을 것 같아요. 
132,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,좋아요!! 면이라서 맘에 들어요. 근데 가격이 조금 비싸긴한 것 같아요.
133,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,민석이가 입어서 주문했는데 맘에 듭니다:) 요즘 갑자기 밤에 쌀쌀해져서 입기 좋았어요!
