num,summary,grade,review
28,"색상: (10)WHITE / 사이즈: S(090)
핏오버핏이에요사이즈많이 커요 (총 기장, 가슴)착용감편해요",4,"교복 안에, 맨투맨 안에 등등 입으려고 샀어요. 오버핏이라고 해서 s사이즈 샀는데, 생각보다 큽니다. 그래도 넉넉히 잘 입을 수 있을거 같아요. 재질도 쫀쫀하니 좋아요~~^^"
29,"색상: (10)WHITE / 사이즈: XL(105)
사이즈약간 커요핏오버핏이에요착용감아주 편해요",4,상세설명과 동일하고 부드러운 면소재로 얇지도 두껍지않고 적당합니다. 레이어드용으로 딱 좋아요
30,"색상: (10)WHITE / 사이즈: XL(105)
사이즈약간 커요 (총 기장)핏적당해요착용감편해요",5,"오버핏을 자주 입는 편이라 XL를 구입했는데(원래는 L 사이즈입니다) 핏은 아주 좋은데 길이가 생각보다 많이 기네요. 그래도 어찌저찌 잘 입으면 괜찮을 것 같습니다. 
좋은 가격에 잘 샀습니다."
31,"색상: (10)WHITE / 사이즈: XL(105)
체형여성175cm68kg상의 XL팔이 긴 편사이즈잘 맞아요핏오버핏이에요착용감아주 편해요",5,세탁해서 널어뒀어요~원단이 탄탄하고 길이가길어서 레이어드용으로 딱 좋아요! 저렴하게 너무 잘산듯!
32,"색상: (10)WHITE / 사이즈: S(090)
사이즈약간 커요 (총 기장)핏적당해요착용감편해요",4,"괜찮네요. 단지 저한테는 너무 길어요. 
촉감 부드럽고 착용감도 편해서 만족합니다."
33,"색상: (10)WHITE / 사이즈: XL(105)
체형여성160cm55kg상의 M보통 어깨사이즈약간 커요 (총 기장, 소매길이)핏적당해요착용감편해요",4,"교복안에 입히려고 주문했어요~
자주입다보니 색조 바래고 목도 늘어져서 흰티는 자주 구매해야하네요.
스파오는 탄탄하고 소매나 기장이 좀 길어요.
알고 구매했는데 생각보다 더 기네요."
34,"색상: (10)WHITE / 사이즈: XL(105)
사이즈잘 맞아요핏오버핏이에요착용감편해요",4,"어제 15프로 할인해서 2팩샀는데 이것도 싸다고 생각했는데 오늘 하루만에 30프로 할인쿠폰 생겨서 기분은 언짢네요 하루사이에 5천원이라니ㅎㅎ
그래서 별한개 뺐어요"
35,"색상: (10)WHITE / 사이즈: XL(105)
체형남성174cm72kg상의 L보통 어깨보통 팔길이사이즈잘 맞아요핏적당해요착용감아주 편해요",4,원단이 너무 흐물흐물 거리지 않고 비침도 거의 없습니다. 이너웨어로 입으면 너무 좋습니다.
36,"색상: (10)WHITE / 사이즈: XL(105)
사이즈잘 맞아요핏적당해요착용감편해요",4,남편 사줬는데 다 좋은데 목있는 곳이 좀 답답하다고해요 제가 봐도 넥 라운드가 좀 작은?것같아요 몸통이나 길이감이나 다른 건 좋아요~
37,"색상: (10)WHITE / 사이즈: M(095)
사이즈잘 맞아요핏오버핏이에요착용감편해요",5,"항상 잘 입는 기본템인데 저렴하게 잘 샀어요
어느 브랜드보다 톡톡하고 늘어나지않고 제일 좋은거 같아요"
