summary,grade,review
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",5,재구매마음에 들어요 굿!
"상품명: 05.블럭ST 반팔세트 / 사이즈: M(95)
체형180cm103kg상의 XXS원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,신행올때 커플로구매했어요 너무~~잘입고있어용
"상품명: 05.블럭ST 반팔세트 / 사이즈: XL(105.5~110)
체형180cm103kg상의 XXS원단부드러워요사이즈잘 맞아요착용감편해요",5,신혼여행가서 입으려구요 배송빨리해줘서고마워요♡
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요착용감편해요",5,한달사용기선물해줬는데 너무 좋대요. 제 잠옷도 다음에 여기서 구매하려구요.
"상품명: 04.오리엔탈 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,마음에 들어여 잘 입을게요
"상품명: 09.네이비ST 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,"메이플라워 잠옷 두번째 구매에요!
남자 잠옷 디자인 더 많이 늘려주세요ㅎㅎ
부드럽구 너무 조아요"
"상품명: 01.윈도우체크 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감편해요",5,아부지가 여행가서 입으신다고 샀어요
"상품명: 09.네이비ST 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감편해요",5,"배송도 빠르고 원단이 얇고 부드러워서 좋아요
착용감도 편안해서 좋아요"
"상품명: 10.진퍼플ST 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감편해요",5,배송도 빠르고 원단이 얇고부드러워서 좋아요 착용감도 편해서 좋아요
"상품명: 14.테디베어 반팔세트 / 사이즈: L(100~105)
체형185cm64kg상의 L하의 33인치원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,한달사용기다시 구매하고 싶어요
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요 (팔 둘레)착용감아주 편해요",5,"한달사용기앞으로 여름 잠옷은 여기 정착입니다
얇은데 탄탄하고 시원해요
디테일 바느질 꼼꼼하고 퀄리티 좋아요"
"상품명: 09.네이비ST 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,한달사용기재구매잘때는 무조건 이 잠옷 입고 자야 푹 잘 수 있어요
"상품명: 01.윈도우체크 반팔세트 / 사이즈: L(100~105)
체형168cm77kg상의 L하의 34인치원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,착용감이 부드러우며 편안한 나의 스타일이에요
"상품명: 05.블럭ST 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈약간 커요 (가슴)착용감편해요",5,"빠른배송에 보들보들원단이  얇고 부드러워서 좋아요
폼이넉넉하니 편합니다"
"상품명: 05.블럭ST 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈약간 커요착용감아주 편해요",5,재구매하나 사보고 질도 좋고 원단도 좋아서 또 구매했어요 ㅎㅎ 아주 좋아요
"상품명: 04.오리엔탈 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,"한달사용기친정 부모님께 선물로 보내드렸어요.
부드럽고 시원하고
이번 여름 잘 입으셨답니다. ^^"
